                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2453,                0.57807,                0.36889,                0.18877,                0.16728,                0.08217,                0.02173,                 1.2527,                0.55933,                 0.4739,                0.03047,               6.96e-05,               6.96e-05
                      2,                 1.0859,                0.56451,                 0.2881,                0.38462,                 0.3045,                0.24371,                0.06528,                 1.0378,                0.53772,                0.26254,                 0.0001,                 0.0001,                 0.0001
                      3,                  1.035,                0.54657,                 0.2607,                 0.5372,                0.40469,                0.41225,                0.17581,                0.81156,                0.64579,                0.16442,                 0.0001,                 0.0001,                 0.0001
                      4,                 0.9057,                 0.6215,                0.18247,                0.56014,                0.44705,                 0.4524,                0.22909,                0.73587,                0.66944,                0.13401,                 0.0001,                 0.0001,                 0.0001
                      5,                0.87111,                0.62175,                0.16139,                0.58844,                0.46914,                0.48484,                0.25152,                0.71638,                0.66078,                0.13092,                 0.0001,                 0.0001,                 0.0001
                      6,                0.84996,                0.61842,                0.15317,                0.63064,                0.50003,                0.52772,                 0.2826,                0.67555,                 0.6424,                 0.1181,                 0.0001,                 0.0001,                 0.0001
                      7,                0.82714,                0.61629,                0.15045,                0.64394,                0.51949,                0.55615,                0.30243,                0.65704,                0.62566,                0.11179,                 0.0001,                 0.0001,                 0.0001
                      8,                0.82011,                0.60173,                0.14552,                0.66667,                0.52284,                0.57006,                0.30958,                0.65629,                0.61696,                0.11173,                 0.0001,                 0.0001,                 0.0001
                      9,                0.80703,                0.59559,                0.14283,                0.68455,                0.54303,                0.58874,                0.32729,                0.64085,                0.61201,                0.10938,                 0.0001,                 0.0001,                 0.0001
                     10,                0.79542,                0.58657,                0.13842,                0.69246,                0.54955,                0.60029,                0.32946,                0.63998,                0.60611,                0.10672,                 0.0001,                 0.0001,                 0.0001
                     11,                0.77622,                0.58672,                0.13462,                0.70235,                0.55662,                0.60902,                0.33862,                  0.628,                0.60168,                0.10484,                 0.0001,                 0.0001,                 0.0001
                     12,                0.75878,                0.58544,                0.12946,                0.69802,                0.56595,                 0.6124,                0.34244,                 0.6235,                 0.6008,                0.10386,                 0.0001,                 0.0001,                 0.0001
                     13,                0.73821,                0.58258,                0.12701,                 0.7031,                 0.5757,                0.61923,                0.34774,                0.61864,                0.59848,                0.10284,                 0.0001,                 0.0001,                 0.0001
                     14,                0.73036,                0.57846,                0.12544,                0.70627,                0.57705,                 0.6237,                0.35095,                0.61326,                0.59609,                 0.1015,                 0.0001,                 0.0001,                 0.0001
                     15,                 0.7184,                0.57519,                0.12255,                 0.7091,                0.57781,                0.62651,                0.35334,                0.60997,                0.59309,                0.10067,                 0.0001,                 0.0001,                 0.0001
